Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
31,Claire Eccles*,28,NYH,Wmn,,11,34,30,7,9,2,0,0,4,1,0,1,2,.300,.313,.367,.679,11,,0,2,1,0,player.fcgi?id=eccles000cla
32,Beth Greenwood,26,BOS,Wmn,,8,24,20,1,6,0,0,0,5,0,0,2,2,.300,.417,.300,.717,6,,2,0,0,0,player.fcgi?id=greenw000bet
33,Keira Izumi,19,NYH,Wmn,,11,29,24,4,7,1,0,1,3,3,0,2,5,.292,.379,.458,.838,11,,2,0,1,0,player.fcgi?id=izumi-001kei
34,Madison Willan,25,NYH,Wmn,,10,24,18,3,5,2,0,0,4,0,1,5,1,.278,.417,.389,.806,7,,0,0,1,0,player.fcgi?id=willan000mad
35,Mo'ne Davis,25,LAQ,Wmn,,11,37,33,7,9,3,0,0,6,0,0,4,3,.273,.351,.364,.715,12,,0,0,0,0,player.fcgi?id=davis-002mon
36,Molly Paddison*,19,BOS,Wmn,,13,50,44,6,12,2,0,0,3,1,0,5,8,.273,.360,.318,.678,14,,1,0,0,0,player.fcgi?id=paddis000mol
37,Ticara Geldenhuis,24,BOS,Wmn,,13,47,37,10,10,5,0,2,8,1,0,9,11,.270,.426,.568,.993,21,,1,0,0,0,player.fcgi?id=gelden000tic
38,Thaima Maximiliana#,19,LAQ,Wmn,,12,28,25,4,6,1,0,1,4,1,1,2,5,.240,.321,.400,.721,10,,1,0,0,0,player.fcgi?id=maximi000tha
39,Val Perez,34,NYH,Wmn,,7,29,25,9,6,1,0,0,2,1,0,2,0,.240,.310,.280,.590,7,,1,0,1,0,player.fcgi?id=perez-004val
40,Kate Blunt,23,BOS,Wmn,,12,36,30,6,7,1,0,0,2,0,0,6,2,.233,.361,.267,.628,8,,0,0,0,0,player.fcgi?id=blunt-000kat
41,Edith De Leija*,22,BOS,Wmn,,9,38,31,3,7,0,0,0,4,2,0,5,5,.226,.342,.226,.568,7,,1,0,1,0,player.fcgi?id=deleij000edi
42,Amira Hondras*,18,LAQ,Wmn,,10,38,31,4,7,2,0,0,8,2,2,5,4,.226,.342,.290,.632,9,,1,0,1,0,player.fcgi?id=hondra000ami
43,Maïka Dumais*,18,BOS,Wmn,,12,28,23,7,5,1,0,0,4,5,0,5,5,.217,.357,.261,.618,6,,0,0,0,0,player.fcgi?id=dumais000mai
44,Gabrielle Haas,24,BOS,Wmn,,11,37,30,3,6,0,0,0,4,0,1,4,6,.200,.333,.200,.533,6,,2,1,0,0,player.fcgi?id=haas--000gab
45,Raine Padgham,20,BOS,Wmn,,12,35,30,5,6,0,0,0,7,3,0,5,8,.200,.314,.200,.514,6,,0,0,0,0,player.fcgi?id=padgha000rai
46,Ela Day-Bédard,21,SFF,Wmn,,10,29,23,6,4,0,0,0,3,1,0,1,12,.174,.310,.174,.484,4,,4,0,1,0,player.fcgi?id=day-be000ela
47,Hyeonah Kim,26,BOS,Wmn,,10,26,18,8,3,1,0,0,1,1,0,3,4,.167,.400,.222,.622,4,,4,1,0,0,player.fcgi?id=kim---021hye
48,Diana Ibarra,26,NYHLAQ,Wmn,,11,27,22,1,3,0,0,0,3,0,0,3,2,.136,.296,.136,.433,3,,2,0,0,0,player.fcgi?id=ibarra000dia
49,Jaida Lee,20,NYH,Wmn,,10,15,13,3,1,0,0,0,2,3,0,2,7,.077,.200,.077,.277,1,,0,0,0,0,player.fcgi?id=lee---000jai
